series_id,series_name,hit,imdb
239121,هیولای زرد توقف ناپذیر,86,7.6
239411,رئال مادرید: افسانه سفید,92,7.6
238588,به دام افتاده,81,8
240694,محله بی,71,8.4
239271,ماشین تحریر شیکاگو,89,8.2
240481,اسکله,88,6.2
240213,راهزنان زمان,87,5.9
239680,طوفانگر,71,6.3
238102,بانوی دریاچه,72,5.9
239524,آن‌ هایی که در شرف مرگ هستند,89,6.5
239088,پینوکیو در دهکده سحرآمیز,81,7.6
238207,میلیاردها,84,8.3
240358,موسیقی متن سریال برکینگ بد,79,None
240109,موسیقی متن سریال فرار از زندان,0,8.3
237209,بریده,0,6.5
240195,موسیقی متن فیلم شرک,66,7.9
239760,ولیعهد گمشده ,89,6.9
239500,تاثیر مضاعف,77,7.5
239930,موسیقی متن فیلم یکه سوار,0,6.4
239913,جنگل آسفالت (ویژه ناشنوایان),76,5.6
240083,موسیقی متن فیلم بلید رانر ۲۰۴۹,0,8
240017,موسیقی متن فیلم یخ زده,85,7.4
237442,اکازیون (ویژه ناشنوایان),84,None
239575,موسیقی متن فیلم گورستان کرم‌ های شب ‌تاب,0,8.5
239566,کار داگلاس ساخته است,73,7
239841,موسیقی متن فیلم ای. تی. موجود فرازمینی,0,7.9
239789,موسیقی متن فیلم راننده تاکسی,0,8.2
239870,موسیقی متن فیلم مرد بارانی,0,8
238707,خاطرات قطره شبنم,83,8.2
239483,موسیقی متن فیلم شرلوک هلمز,0,7.6
239456,موسیقی متن فیلم سکوت بره ها,0,8.6
238321,ماموران مخفی,82,6.9
237558,هیتلر و نازی ها: محاکمه شیطان,85,7.5
239553,موسیقی متن فیلم آخرین سامورایی,0,7.8
131691,لونی تونز: سری جدید,91,8
238305,اکشن,0,8
239387,سانی,80,6.9
239334,جهنم تلخ و شیرین,87,7.1
236960,بازرس ارشد ۱۹۵۸,85,7.9
239254,ناپدید شدن کیم وال,83,6.6
236916,خانواده استثنایی,90,7.6
239201,آستین,0,7.6
238819,دادگاه عدالت,69,6.9
238533,دنیای مخفی صدا با دیوید اتنبرو,89,8.2
237434,رباس,74,7.2
238442,فاینس ها به طبیعت وحشی باز می گردند,0,7.3
237068,دنیای زنده ما,90,7.7
238854,سوپاسل,78,6.9
238685,کابوس ها و رویاهای جوکو انور,72,6.6
235821,نسخه های متفاوت داستان های برادران گریم,84,6.3
237313,دکتر هو,76,6
237909,پنهان,84,7.1
238472,ری: هیولا,91,6.5
238137,بیبی بام کوچولو: وقت آهنگه,66,6.4
238018,حیوانات بازیگوش,86,7.6
238168,کوکین,73,7.3
228008,پوکمون مهماندار,83,7.7
210122,کابوس ها و توهمات: برگرفته از داستان های استیون کینگ,76,6.8
237738,دنیای شگفت انگیز,91,7.7
237800,پرو و گاتو,77,8.7
237400,گارودن: شیوه گرگ تنها,77,6.1
236692,مقدر شده با تو,94,7.6
237626,کری و لو,70,8.6
237771,کل جهان نان می خورند,90,8.1
236347,نقطه عطف: بمب و جنگ سرد,92,8.3
228225,زام ۱۰۰: کارهایی که قبل از زامبی شدن می‌ خوام انجام بدم,93,7.8
237597,شریک جرم (ویژه ناشنوایان),75,5.9
236575,آرک,90,6.6
237251,اودربراخ,58,6.8
237588,اصل برائت,92,7.8
237398,داوینچیز (ویژه ناشنوایان),57,None
233435,با وجود اینکه می‌ دانم,85,7.1
236174,با هم: برنده های سه گانه,81,7.4
237531,یک کف مرتب,56,7.3
237123,بداهه با هالیوود ریپورتر,87,7.3
237188,نیمه‌ شب در آموزشگاه,80,7.5
231346,اژدهایان سرزمین جادویی,79,5.7
237294,بازی هرمی,95,7.7
228770,سوکیمیچی,93,7.6
232625,صداهای زمین,90,8.7
236308,دور افتادگان,71,5.8
237272,سلسله مراتب,87,6.6
232780,بی خوابی بعد از مدرسه,89,7.9
235576,هوریمیا: قطعات گمشده,96,7.7
